,t_add,prev,foll,skip,loop,net_trans,net_places,net_nodes,n_nets_found,n_nodes_used,time_finding_nets,time_conf_tran,f1_tran,precision_tran,fitness_tran
6,A_Accepted,{'A_Concept'},"{'A_Denied', 'A_Complete', 'A_Cancelled'}",False,False,16,11,27,2,3,0.009907841682434082,3.419157475233078,0.9668756412156088,0.9363803554519161,0.9994240846809277
3,A_Cancelled,"{'A_Incomplete', 'A_Accepted', 'A_Complete', 'A_Validating'}",{'End'},True,False,17,12,29,22,8,0.27319714426994324,44.52586092054844,0.9668745804505583,0.9363803554519161,0.9994218179129251
8,A_Complete,{'A_Accepted'},"{'A_Cancelled', 'A_Denied', 'A_Validating', 'End'}",True,False,16,11,27,10,6,0.0550498366355896,17.538925975561142,0.9668756412156088,0.9363803554519161,0.9994240846809277
7,A_Concept,"{'A_Submitted', 'A_Create Application'}",{'A_Accepted'},False,False,16,11,27,4,4,0.019399359822273254,6.5725143402814865,0.9668756412156088,0.9363803554519161,0.9994240846809277
4,A_Create Application,set(),"{'A_Concept', 'A_Submitted'}",False,False,16,11,27,3,4,0.017300590872764587,4.856344535946846,0.9668756412156088,0.9363803554519161,0.9994240846809277
0,A_Denied,"{'A_Incomplete', 'A_Validating', 'A_Complete', 'A_Accepted'}",{'End'},True,True,17,12,29,42,8,0.2514007091522217,79.73889899253845,0.9668752596618282,0.9363803554519161,0.9994232693311486
2,A_Incomplete,{'A_Validating'},"{'A_Pending', 'A_Denied', 'A_Cancelled', 'End'}",True,True,15,11,26,18,8,0.0639679878950119,39.06039381027222,0.9668756412156088,0.9363803554519161,0.9994240846809277
1,A_Pending,"{'A_Incomplete', 'A_Validating'}",{'End'},True,False,17,12,29,22,8,0.2632094919681549,43.404346331954,0.9702121390018734,0.9424901365216704,0.9996143692751395
5,A_Submitted,{'A_Create Application'},{'A_Concept'},True,False,15,11,26,4,3,0.009255707263946533,6.858164280653,0.9668756412156088,0.9363803554519161,0.9994240846809277
9,A_Validating,{'A_Complete'},"{'A_Pending', 'A_Incomplete', 'A_Denied', 'A_Cancelled', 'End'}",True,True,16,11,27,18,6,0.02757397770881653,35.89008864760399,0.9719280475610576,0.9999836510925157,0.9454037413725249
