,t_add,prev,foll,skip,loop,net_trans,net_places,net_nodes,n_nets_found,n_nodes_used,time_finding_nets,time_conf_tran,f1_tran,precision_tran,fitness_tran
3,A_Accepted,{'A_Concept'},"{'A_Cancelled', 'A_Denied', 'A_Complete'}",False,False,10,8,18,8,8,0.042642176151275635,11.128664270043373,0.9729595772771844,0.9990457289718205,0.9482010348844717
9,A_Cancelled,"{'A_Validating', 'A_Accepted', 'A_Incomplete', 'A_Complete'}",{'End'},True,False,11,9,20,36,12,0.2387516051530838,54.740282490849495,0.9729585276571903,0.9990457289718205,0.9481990411243686
2,A_Complete,{'A_Accepted'},"{'A_Cancelled', 'A_Denied', 'End', 'A_Validating'}",True,False,10,8,18,10,9,0.04159025847911835,14.693349212408066,0.9729595772771844,0.9990457289718205,0.9482010348844717
1,A_Concept,"{'A_Submitted', 'A_Create Application'}",{'A_Accepted'},False,False,10,8,18,4,5,0.013275936245918274,5.217743217945099,0.9729595772771844,0.9990457289718205,0.9482010348844717
0,A_Create Application,set(),"{'A_Submitted', 'A_Concept'}",False,False,10,8,18,3,5,0.010682687163352966,4.098094061017036,0.9729595772771844,0.9990457289718205,0.9482010348844717
8,A_Denied,"{'A_Complete', 'A_Validating', 'A_Incomplete', 'A_Accepted'}",{'End'},True,True,11,9,20,60,12,0.24583974480628967,93.59339748322964,0.9729591997322092,0.9990457289718205,0.9482003177348305
6,A_Incomplete,{'A_Validating'},"{'A_Pending', 'A_Cancelled', 'A_Denied', 'End'}",True,True,11,9,20,92,20,13.002036109566689,140.68489280343056,0.9776579049204263,0.9960951069054321,0.9598908253436612
7,A_Pending,"{'A_Incomplete', 'A_Validating'}",{'End'},True,False,11,9,20,24,9,0.10801610350608826,36.71386444568634,0.9729578437075052,0.9990457289718205,0.9481977419596268
4,A_Submitted,{'A_Create Application'},{'A_Concept'},True,False,10,8,18,4,3,0.0054312050342559814,5.853285759687424,0.9828847747203548,0.9988446185505665,0.9674269322599187
5,A_Validating,{'A_Complete'},"{'A_Pending', 'A_Cancelled', 'A_Incomplete', 'A_Denied', 'End'}",True,True,10,8,18,6,8,0.012057200074195862,0.577639177441597,0.0,0.0,0.0
